"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"306","B4","2x2","A2","Acr",80,0,"Mar19","Ambient","Mar19_A2"
"307","B4","2x2","A4","Acr",0,0,"Mar19","Ambient","Mar19_A4"
"308","B4","2x2","A8","Acr",0,0,"Mar19","Ambient","Mar19_A8"
"309","B4","2x2","P7","Pver",0,0,"Mar19","Ambient","Mar19_P7"
"310","B4","3x3","A3","Acr",10,0,"Mar19","Ambient","Mar19_A3"
"311","B4","3x3","A7","Acr",10,0,"Mar19","Ambient","Mar19_A7"
"312","B4","3x3","P14","Pver",0,0,"Mar19","Ambient","Mar19_P14"
"313","B4","3x3","P2","Pver",0,0,"Mar19","Ambient","Mar19_P2"
"314","B4","3x3","P6","Pver",0,0,"Mar19","Ambient","Mar19_P6"
"315","B4","open","P13","Pver",0,0,"Mar19","Ambient","Mar19_P13"
"316","B4","open","P5","Pver",0,0,"Mar19","Ambient","Mar19_P5"
"317","C1","1x1","P20","Pver",0,0,"Mar19","Ambient","Mar19_P20"
"318","C1","1x1","P4","Pver",0,0,"Mar19","Ambient","Mar19_P4"
"319","C1","1x1","P5","Pver",0,5,"Mar19","Ambient","Mar19_P5"
"320","C1","2x2","A1","Acr",20,0,"Mar19","Ambient","Mar19_A1"
"321","C1","2x2","A4","Acr",10,0,"Mar19","Ambient","Mar19_A4"
"322","C1","2x2","P15","Pver",0,0,"Mar19","Ambient","Mar19_P15"
"323","C1","2x2","P16","Pver",10,0,"Mar19","Ambient","Mar19_P16"
"324","C1","2x2","P18","Pver",0,0,"Mar19","Ambient","Mar19_P18"
"325","C1","2x2","P3","Pver",0,0,"Mar19","Ambient","Mar19_P3"
"326","C1","3x3","A1","Acr",20,0,"Mar19","Ambient","Mar19_A1"
"327","C1","3x3","A5","Acr",0,0,"Mar19","Ambient","Mar19_A5"
"328","C1","3x3","P13","Pver",0,0,"Mar19","Ambient","Mar19_P13"
"329","C1","open","P12","Pver",0,0,"Mar19","Ambient","Mar19_P12"
